Devices,,,,,,,,,,
2000,,,,,,,,,,
,,AMTI-AP - Force,,,AMTI-AP - Moment,,,AMTI-AP - CoP,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
5,2,54.3494,-107.164,829.191,59943,-126301,-6165.95,152.318,72.2909,0.0000229993
5,3,53.9027,-105.311,824.185,60186.6,-125727,-7543.69,152.548,73.0257,0.0000230341
5,4,53.456,-103.457,819.178,60430.3,-125154,-8921.43,152.78,73.7694,0.0000230692
5,5,52.7516,-104.153,823.533,60748.2,-124750,-8076.76,151.481,73.7654,0.000022873
5,6,52.0473,-104.849,827.888,61066.2,-124345,-7232.09,150.196,73.7614,0.0000226789
5,7,51.3063,-105.61,818.466,58137.9,-123462,-7494.06,150.846,71.0327,0.0000227771
6,0,50.5652,-106.37,809.044,55209.5,-122579,-7756.04,151.512,68.2405,0.0000228776
6,1,50.8558,-106.114,818.603,58645.8,-123731,-7235.03,151.149,71.6413,0.0000228228
6,2,51.1465,-105.857,828.162,62082,-124882,-6714.02,150.795,74.9636,0.0000227694
6,3,49.6695,-106.451,823.641,60792.7,-124784,-7075.25,151.503,73.8097,0.0000228763
6,4,48.1926,-107.045,819.12,59503.3,-124685,-7436.48,152.219,72.643,0.0000229844
6,5,47.2962,-107.213,816.762,59177.9,-124140,-7431.03,151.991,72.4543,0.00002295
6,6,46.3999,-107.382,814.403,58852.5,-123595,-7425.59,151.762,72.2645,0.0000229154
6,7,45.0849,-107.1,814.941,58159.6,-124469,-7720.25,152.734,71.3666,0.0000230622
7,0,43.7698,-106.819,815.479,57466.7,-125343,-8014.91,153.705,70.4699,0.0000232088
7,1,42.8801,-107.882,815.656,57628.5,-125082,-7693.34,153.352,70.653,0.0000231555
7,2,41.9904,-108.944,815.833,57790.3,-124822,-7371.78,152.999,70.836,0.0000231022
7,3,42.2948,-107.827,811.014,57152.9,-123767,-8194.3,152.607,70.4709,0.0000230431
7,4,42.5991,-106.709,806.194,56515.4,-122712,-9016.83,152.211,70.1015,0.0000229833
7,5,43.4309,-106.251,806.441,57096.6,-123083,-8869.96,152.625,70.8007,0.0000230458
7,6,44.2626,-105.793,806.688,57677.7,-123455,-8723.09,153.039,71.4994,0.0000231082
7,7,44.7014,-106.499,809.236,57307.1,-124831,-8468.23,154.258,70.8163,0.0000232922
8,0,45.1402,-107.206,811.783,56936.4,-126207,-8213.38,155.469,70.1375,0.0000234751
8,1,44.4244,-107.911,815.801,58787.6,-125782,-7509.2,154.182,72.0612,0.0000232809
8,2,43.7086,-108.616,819.819,60638.8,-125358,-6805.03,152.909,73.966,0.0000230886
8,3,44.9765,-108.665,813.092,58576,-124786,-7235.7,153.471,72.041,0.0000231735
8,4,46.2444,-108.714,806.365,56513.1,-124214,-7666.38,154.042,70.0839,0.0000232598
8,5,47.0507,-108.414,812.17,56856.5,-124950,-7190.27,153.846,70.0056,0.0000232302
8,6,47.857,-108.114,817.976,57199.8,-125685,-6714.16,153.653,69.9284,0.000023201
8,7,47.5642,-107.54,814.634,56720.2,-125054,-7522.01,153.509,69.6266,0.0000231793
9,0,47.2715,-106.966,811.292,56240.7,-124423,-8329.85,153.364,69.3224,0.0000231573
9,1,47.0656,-107.051,807.384,55611.1,-123703,-8082.26,153.215,68.8781,0.0000231348
9,2,46.8598,-107.136,803.476,54981.5,-122983,-7834.67,153.064,68.4295,0.000023112
9,3,47.2109,-105.94,805.452,56563.8,-123675,-8152.89,153.548,70.2262,0.0000231851
9,4,47.562,-104.745,807.427,58146.2,-124367,-8471.11,154.029,72.0142,0.0000232577
9,5,47.4308,-105.126,804.815,56384,-123609,-8483.89,153.587,70.0583,0.000023191
9,6,47.2996,-105.508,802.203,54621.8,-122851,-8496.67,153.142,68.0898,0.0000231238
9,7,48.3838,-105.489,804.136,55713,-122761,-8537.2,152.662,69.2831,0.0000230514
10,0,49.4679,-105.47,806.07,56804.2,-122672,-8577.73,152.185,70.4706,0.0000229793
10,1,49.7974,-106.003,804.155,56859.1,-122425,-8699.94,152.241,70.7067,0.0000229877
10,2,50.127,-106.536,802.24,56914,-122179,-8822.15,152.297,70.9438,0.0000229962
10,3,50.3493,-106.207,804.195,57496.4,-122753,-8669.3,152.641,71.4955,0.0000230482
10,4,50.5716,-105.878,806.15,58078.8,-123328,-8516.47,152.984,72.0446,0.0000230999
10,5,50.7964,-106.118,807.766,57790.3,-123140,-8317.65,152.446,71.5434,0.0000230187
10,6,51.0211,-106.358,809.381,57501.8,-122953,-8118.84,151.91,71.0442,0.0000229377
10,7,50.506,-106.032,806.251,57559.4,-122773,-8490,152.276,71.3914,0.000022993
11,0,49.9908,-105.706,803.12,57617,-122592,-8861.15,152.645,71.7414,0.0000230488
11,1,49.8086,-105.224,801.241,57832.6,-121949,-8869.77,152.201,72.1789,0.0000229817
11,2,49.6263,-104.742,799.361,58048.3,-121306,-8878.38,151.754,72.6184,0.0000229142
11,3,48.9793,-105.521,799.917,57693.3,-120511,-8089.97,150.654,72.1242,0.0000227481
11,4,48.3322,-106.301,800.473,57338.4,-119715,-7301.56,149.556,71.6306,0.0000225823
11,5,48.3527,-106.369,799.218,56499.4,-120020,-7512.94,150.172,70.6934,0.0000226753
11,6,48.3732,-106.437,797.963,55660.5,-120324,-7724.32,150.79,69.7533,0.0000227686
11,7,48.4452,-106.186,796.64,56806.4,-120716,-7586.02,151.532,71.3075,0.0000228806
12,0,48.5172,-105.934,795.318,57952.3,-121108,-7447.72,152.276,72.8668,0.0000229931
12,1,47.9993,-105.823,793.438,56396.8,-121578,-7548.72,153.229,71.0791,0.0000231369
12,2,47.4814,-105.711,791.557,54841.3,-122047,-7649.73,154.186,69.2828,0.0000232815
12,3,47.096,-105.212,792.407,56083.3,-121319,-7643.64,153.102,70.7758,0.0000231177
12,4,46.7105,-104.714,793.257,57325.3,-120590,-7637.56,152.019,72.2657,0.0000229543
12,5,46.3721,-104.687,792.717,56519.9,-121733,-7612.07,153.564,71.299,0.0000231876
12,6,46.0336,-104.66,792.177,55714.6,-122876,-7586.58,155.112,70.3311,0.0000234212
12,7,46.8931,-103.833,794.443,57317.2,-122461,-7578.64,154.147,72.1476,0.0000232755
13,0,47.7526,-103.005,796.71,58919.7,-122046,-7570.71,153.187,73.9538,0.0000231307
13,1,48.6525,-103.9,796.201,57263.1,-121820,-7171.4,153.002,71.9205,0.0000231026
13,2,49.5524,-104.794,795.691,55606.6,-121594,-6772.1,152.816,69.8846,0.0000230745
13,3,50.2043,-104.49,794.925,54713.7,-122145,-6714.91,153.656,68.8287,0.0000232014
13,4,50.8561,-104.185,794.16,53820.8,-122696,-6657.72,154.497,67.7708,0.0000233285
13,5,51.4943,-104.766,793.169,54971.9,-122287,-6419.2,154.176,69.3068,0.0000232799
13,6,52.1325,-105.346,792.177,56123.1,-121879,-6180.67,153.854,70.8466,0.0000232313
13,7,51.9986,-106.188,796.406,57148.8,-121953,-5914.59,153.13,71.7584,0.000023122
14,0,51.8647,-107.031,800.634,58174.5,-122028,-5648.51,152.414,72.6605,0.0000230138
14,1,51.7339,-106.048,795.573,57607.5,-120873,-6037.62,151.932,72.4101,0.0000229411
14,2,51.6031,-105.065,790.512,57040.5,-119719,-6426.74,151.444,72.1564,0.0000228675
14,3,51.1791,-104.42,788.539,56645.4,-119477,-7357.35,151.517,71.836,0.0000228785
14,4,50.755,-103.774,786.566,56250.4,-119236,-8287.97,151.591,71.514,0.0000228895
14,5,50.5967,-104.263,789.847,56192.8,-119985,-8507.05,151.909,71.1439,0.0000229376
